Company Name,CIK
"024 Pharma, Inc.",1307969
1 800 FLOWERS COM INC,1084869
"1347 Property Insurance Holdings, Inc.",1591890
1847 Holdings LLC,1599407
1PM Industries,859747
1ST CONSTITUTION BANCORP,1141807
1ST SOURCE CORP,34782
1st FRANKLIN FINANCIAL CORP,38723
"2050 MOTORS, INC.",867028
"21st Century Oncology Holdings, Inc.",1503518
"22nd Century Group, Inc.",1347858
"2U, Inc.",1459417
3D SYSTEMS CORP,910638
3M CO,66740
"3PEA INTERNATIONAL, INC.",1496443
3Power Energy Group Inc.,1221554
"5BARz International, Inc.",1454124
8X8 INC /DE/,1023731
8point3 Energy Partners LP,1635581
"A-Mark Precious Metals, Inc.",1591588
A. H. Belo Corp,1413898
"A10 Networks, Inc.",1580808
"AAA CENTURY GROUP USA, INC.",1409014
"AAC Holdings, Inc.",1606180
AAON INC,824142
AARON'S INC,706688
AB Private Credit Investors Corp,1634452
ABAXIS INC,881890
ABBOTT LABORATORIES,1800
"ABCO Energy, Inc.",1300938
ABEONA THERAPEUTICS INC.,318306
ABIOMED INC,815094
ABRAXAS PETROLEUM CORP,867665
ACACIA RESEARCH CORP,934549
ACADIA PHARMACEUTICALS INC,1070494
ACADIA REALTY TRUST,899629
"ACCELERA INNOVATIONS, INC.",1444144
ACCELERON PHARMA INC,1280600
ACCESS NATIONAL CORP,1176316
ACCO BRANDS Corp,712034
ACCURAY INC,1138723
ACCURIDE CORP,817979
ACELRX PHARMACEUTICALS INC,1427925
ACETO CORP,2034
ACHILLION PHARMACEUTICALS INC,1070336
"ACI WORLDWIDE, INC.",935036
ACME UNITED CORP,2098
ACNB CORP,715579
ACORDA THERAPEUTICS INC,1008848
"ACORN ENERGY, INC.",880984
ACQUIRED SALES CORP,1391135
ACRE REALTY INVESTORS INC,1011109
ACTIVE POWER INC,1044435
ACUCELA INC.,1400482
"ACURA PHARMACEUTICALS, INC",786947
ACXIOM CORP,733269
ADAMANT DRI PROCESSING & MINERALS GROUP,1171008
"ADAMS RESOURCES & ENERGY, INC.",2178
"ADCARE HEALTH SYSTEMS, INC",1004724
ADDENTAX GROUP CORP.,1650101
ADESTO TECHNOLOGIES Corp,1395848
"ADM TRONICS UNLIMITED, INC.",849401
"ADMA BIOLOGICS, INC.",1368514
ADMIRAL FINANCIAL CORP,828530
ADTRAN INC,926282
"ADURO BIOTECH, INC.",1435049
ADVANCE AUTO PARTS INC,1158449
ADVANCED CREDIT TECHNOLOGIES INC,1437517
ADVANCED ENERGY INDUSTRIES INC,927003
ADVANCED ENVIRONMENTAL RECYCLING TECHNOLOGIES INC,849706
ADVANCED MEDICAL ISOTOPE Corp,1449349
ADVANCED MICRO DEVICES INC,2488
ADVANCED OXYGEN TECHNOLOGIES INC,352991
ADVISORY BOARD CO,1157377
AEHR TEST SYSTEMS,1040470
AEI INCOME & GROWTH FUND 24 LLC,1130758
AEI INCOME & GROWTH FUND 25 LLC,1185198
AEI INCOME & GROWTH FUND XXI LTD PARTNERSHIP,931755
AEI INCOME & GROWTH FUND XXII LTD PARTNERSHIP,1023458
AEI Income & Growth Fund 26 LLC,1326321
AEI NET LEASE INCOME & GROWTH FUND XX LIMITED PARTNERSHIP,894245
"AEMETIS, INC",738214
AERIE PHARMACEUTICALS INC,1337553
AEROCENTURY CORP,1036848
"AEROHIVE NETWORKS, INC",1372414
"AEROJET ROCKETDYNE HOLDINGS, INC.",40888
AEROPOSTALE INC,1168213
AES CORP,874761
AETHLON MEDICAL INC,882291
AETNA INC /PA/,1122304
"AFFILIATED MANAGERS GROUP, INC.",1004434
AFLAC INC,4977
"AFTERMASTER, INC.",836809
"AG Mortgage Investment Trust, Inc.",1514281
AG&E HOLDINGS INC.,105608
AGCO CORP /DE,880266
AGENUS INC,1098972
AGILE THERAPEUTICS INC,1261249
AGILYSYS INC,78749
AGIOS PHARMACEUTICALS INC,1439222
AGNC Investment Corp.,1423689
AGREE REALTY CORP,917251
AGRO CAPITAL MANAGEMENT CORP.,1598323
AIMCO PROPERTIES L.P.,926660
AIR INDUSTRIES GROUP,1009891
AIR LEASE CORP,1487712
AIR METHODS CORP,816159
AIR T INC,353184
AIRGAIN INC,1272842
AJ GREENTECH HOLDINGS.,1394108
AK STEEL HOLDING CORP,918160
AKAMAI TECHNOLOGIES INC,1086222
AKORN INC,3116
ALABAMA POWER CO,3153
ALADDIN INTERNATIONAL INC /MN/,921560
ALAMO GROUP INC,897077
ALANCO TECHNOLOGIES INC,98618
"ALASKA AIR GROUP, INC.",766421
ALASKA COMMUNICATIONS SYSTEMS GROUP INC,1089511
ALBANY INTERNATIONAL CORP /DE/,819793
ALBANY MOLECULAR RESEARCH INC,1065087
ALBEMARLE CORP,915913
ALDER BIOPHARMACEUTICALS INC,1423824
ALERE INC.,1145460
ALEXANDERS INC,3499
ALEXANDRIA REAL ESTATE EQUITIES INC,1035443
ALIGN TECHNOLOGY INC,1097149
ALIMERA SCIENCES INC,1267602
ALKALINE WATER Co INC,1532390
ALL AMERICAN SPORTPARK INC,930245
