CIK,Change Jaccard,Change TFID,Change W2V,Common Words,Deleted Words,New Words,Number of Words,Top words,Year
92679,0.366876310273,0.102072923801,0.568390076576,0.633123689727,0.0995807127883,0.267295597484,5729,"['custom', 'oper', 'result', 'compani', 'busi', 'financi', 'product', 'cost', 'advers', 'contract']",2008
92679,0.0871905274489,0.0145846289965,0.0385064156162,0.912809472551,0.0118406889128,0.0753498385361,6437,"['custom', 'result', 'oper', 'compani', 'financi', 'busi', 'cost', 'advers', 'requir', 'product']",2009
92679,0.144076840982,0.0257766044338,0.0685701943994,0.855923159018,0.123799359658,0.0202774813234,5459,"['custom', 'oper', 'result', 'compani', 'financi', 'busi', 'cost', 'advers', 'product', 'market']",2010
92679,0.125598086124,0.0194884602757,0.108077082298,0.874401913876,0.107655502392,0.0179425837321,4731,"['custom', 'oper', 'result', 'financi', 'busi', 'advers', 'cost', 'compani', 'market', 'product']",2011
92679,0.301985370951,0.0707837510874,0.320555123266,0.698014629049,0.0815047021944,0.220480668757,5988,"['custom', 'oper', 'result', 'compani', 'busi', 'product', 'financi', 'cost', 'advers', 'contract']",2015
310158,0.490494296578,0.454613078919,0.108644438067,0.509505703422,0.123954372624,0.366539923954,13292,"['compani', 'product', 'result', 'market', 'includ', 'patent', 'sale', 'advers', 'unit', 'state']",2008
310158,0.18145800317,0.0215882107734,0.0144820770775,0.81854199683,0.094294770206,0.0871632329635,13330,"['compani', 'product', 'result', 'market', 'includ', 'patent', 'sale', 'advers', 'manufactur', 'oper']",2009
310158,0.279552715655,0.0451066601528,0.038727048799,0.720447284345,0.19249201278,0.0870607028754,7639,"['compani', 'product', 'market', 'result', 'includ', 'manufactur', 'patent', 'sale', 'new', 'materi']",2010
310158,0.137453874539,0.0111521893616,0.0149380847529,0.862546125461,0.070110701107,0.0673431734317,7793,"['compani', 'product', 'market', 'result', 'includ', 'sale', 'patent', 'manufactur', 'state', 'materi']",2011
310158,0.619430241052,0.491031116447,0.19475559669,0.380569758948,0.355734112491,0.263696128561,6902,"['custom', 'result', 'product', 'busi', 'oper', 'stock', 'servic', 'solut', 'softwar', 'contract']",2013
310158,0.656447249775,0.615614251158,0.267519277542,0.343552750225,0.451758340848,0.204688908927,4548,"['scheringplough', 'product', 'result', 'patent', 'includ', 'gener', 'market', 'oper', 'new', 'affect']",2014
310158,0.310469314079,0.0384604606731,0.0560588648082,0.689530685921,0.0421179302046,0.268351383875,6773,"['scheringplough', 'product', 'result', 'includ', 'oper', 'advers', 'market', 'gener', 'patent', 'new']",2015
920465,0.103526734926,0.0409166028175,0.0104690102559,0.896473265074,0.0227531285552,0.0807736063709,8159,"['riquent', 'manufactur', 'product', 'market', 'drug', 'approv', 'trial', 'develop', 'clinic', 'regulatori']",2008
920465,0.560209424084,0.352315159522,0.0822664818239,0.439790575916,0.459685863874,0.100523560209,2970,"['stock', 'gc', 'patent', 'ljpc', 'develop', 'technolog', 'common', 'penni', 'product', 'drug']",2009
920465,0.286149162861,0.196503823891,0.0375275663087,0.713850837139,0.0715372907154,0.214611872146,3819,"['stock', 'ljp', 'prefer', 'drug', 'share', 'patent', 'common', 'seri', 'approv', 'develop']",2010
920465,0.653846153846,0.690370256378,0.208947697977,0.346153846154,0.163879598662,0.489966555184,15726,"['busi', 'combin', 'initi', 'warrant', 'public', 'share', 'stockhold', 'target', 'trust', 'exercis']",2012
920465,0.765420560748,0.623022435611,0.281916944416,0.234579439252,0.7,0.0654205607477,1377,"['stock', 'compani', 'price', 'strateg', 'stockhold', 'capit', 'transact', 'common', 'market', 'result']",2013
861459,0.133200795229,0.0580150026378,0.0347565812807,0.866799204771,0.0715705765408,0.0616302186879,3600,"['contract', 'result', 'project', 'oper', 'impact', 'govern', 'futur', 'affect', 'advers', 'work']",2008
861459,0.0987394957983,0.0206401938018,0.0338791861474,0.901260504202,0.0798319327731,0.0189075630252,3288,"['contract', 'result', 'project', 'govern', 'oper', 'impact', 'advers', 'futur', 'profit', 'revenu']",2009
861459,0.328431372549,0.152965970703,0.0990655515609,0.671568627451,0.0441176470588,0.28431372549,3568,"['result', 'oper', 'contract', 'project', 'advers', 'financi', 'liquid', 'impact', 'cash', 'requir']",2011
861459,0.157287157287,0.0320443784538,0.0295399932989,0.842712842713,0.001443001443,0.155844155844,4472,"['result', 'oper', 'advers', 'financi', 'contract', 'project', 'impact', 'cash', 'liquid', 'busi']",2012
861459,0.0470914127424,0.00887598718738,0.00325339707143,0.952908587258,0.00554016620499,0.0415512465374,4662,"['result', 'oper', 'advers', 'financi', 'contract', 'project', 'impact', 'cash', 'liquid', 'busi']",2013
861459,0.104031209363,0.0177119625198,0.00838092425472,0.895968790637,0.037711313394,0.0663198959688,4915,"['result', 'oper', 'contract', 'advers', 'financi', 'project', 'impact', 'liquid', 'busi', 'cash']",2014
861459,0.643157010915,0.562843012622,0.160527900476,0.356842989085,0.264483627204,0.378673383711,7285,"['kcpl', 'gmo', 'compani', 'energi', 'cost', 'oper', 'plain', 'great', 'electr', 'requir']",2015
819220,0.557823129252,0.200633667279,0.145660477239,0.442176870748,0.517006802721,0.0408163265306,1907,"['oper', 'result', 'busi', 'advers', 'custom', 'impact', 'abil', 'cash', 'flow', 'materi']",2008
819220,0.458904109589,0.182926680875,0.661693209002,0.541095890411,0.431506849315,0.027397260274,974,"['oper', 'custom', 'materi', 'product', 'busi', 'impact', 'cost', 'result', 'advers', 'abil']",2010
819220,0.360215053763,0.132423710129,0.636711308475,0.639784946237,0.0295698924731,0.33064516129,1506,"['oper', 'busi', 'result', 'custom', 'advers', 'abil', 'materi', 'impact', 'flow', 'product']",2011
819220,0.619428571429,0.235927723723,0.189025949798,0.380571428571,0.032,0.587428571429,6564,"['oper', 'busi', 'result', 'advers', 'financi', 'includ', 'custom', 'condit', 'abil', 'right']",2012
819220,0.595238095238,0.226772030376,0.163218494108,0.404761904762,0.555555555556,0.0396825396825,1683,"['oper', 'result', 'custom', 'advers', 'busi', 'impact', 'abil', 'materi', 'flow', 'cash']",2013
80661,0.0410697230181,0.00308703765708,0.00876693740398,0.958930276982,0.025787965616,0.0152817574021,8673,"['insur', 'busi', 'secur', 'result', 'risk', 'abil', 'market', 'affect', 'advers', 'financi']",2008
