1 800 FLOWERS COM INC,10-K,1084869,2015-09-11,http://www.sec.gov/Archives/edgar/data/1084869/0001437749-15-017184-index.htm
1347 Capital Corp,10-Q,1606163,2015-08-12,http://www.sec.gov/Archives/edgar/data/1606163/0001144204-15-048537-index.htm
"1347 Property Insurance Holdings, Inc.",10-Q,1591890,2015-08-13,http://www.sec.gov/Archives/edgar/data/1591890/0001607062-15-000354-index.htm
1847 Holdings LLC,10-Q,1599407,2015-08-19,http://www.sec.gov/Archives/edgar/data/1599407/0001477932-15-005404-index.htm
1847 Holdings LLC,NT 10-Q,1599407,2015-08-14,http://www.sec.gov/Archives/edgar/data/1599407/0001477932-15-005154-index.htm
1PM Industries,10-Q,859747,2015-08-13,http://www.sec.gov/Archives/edgar/data/859747/0001477932-15-005064-index.htm
1ST CONSTITUTION BANCORP,10-Q,1141807,2015-08-12,http://www.sec.gov/Archives/edgar/data/1141807/0001628280-15-006519-index.htm
1ST SOURCE CORP,10-Q,34782,2015-07-23,http://www.sec.gov/Archives/edgar/data/34782/0000034782-15-000031-index.htm
"1st Century Bancshares, Inc.",10-Q,1420525,2015-08-06,http://www.sec.gov/Archives/edgar/data/1420525/0001437749-15-015110-index.htm
1st FRANKLIN FINANCIAL CORP,10-Q,38723,2015-08-12,http://www.sec.gov/Archives/edgar/data/38723/0001376474-15-000257-index.htm
"2050 MOTORS, INC.",10-Q,867028,2015-08-13,http://www.sec.gov/Archives/edgar/data/867028/0001493152-15-003609-index.htm
"21st Century Oncology Holdings, Inc.",10-Q,1503518,2015-08-14,http://www.sec.gov/Archives/edgar/data/1503518/0001104659-15-060073-index.htm
"22nd Century Group, Inc.",10-Q,1347858,2015-08-04,http://www.sec.gov/Archives/edgar/data/1347858/0001144204-15-046007-index.htm
24HOLDINGS INC,10-Q,1025315,2015-08-10,http://www.sec.gov/Archives/edgar/data/1025315/0001144204-15-047584-index.htm
"2U, Inc.",10-Q,1459417,2015-08-06,http://www.sec.gov/Archives/edgar/data/1459417/0001104659-15-057188-index.htm
"30DC, INC.",NT 10-K,1118974,2015-09-28,http://www.sec.gov/Archives/edgar/data/1118974/0001065949-15-000242-index.htm
3D SYSTEMS CORP,10-Q,910638,2015-08-06,http://www.sec.gov/Archives/edgar/data/910638/0000910638-15-000011-index.htm
3D Total Solutions Inc.,10-Q,1595326,2015-08-19,http://www.sec.gov/Archives/edgar/data/1595326/0001144204-15-050667-index.htm
3D Total Solutions Inc.,NT 10-Q,1595326,2015-08-14,http://www.sec.gov/Archives/edgar/data/1595326/0001144204-15-049624-index.htm
3DICON CORP,10-Q,1375195,2015-08-14,http://www.sec.gov/Archives/edgar/data/1375195/0001144204-15-049783-index.htm
"3DX Industries, Inc.",10-Q,1453122,2015-09-21,http://www.sec.gov/Archives/edgar/data/1453122/0001554795-15-000383-index.htm
"3DX Industries, Inc.",NT 10-Q,1453122,2015-09-14,http://www.sec.gov/Archives/edgar/data/1453122/0001554795-15-000374-index.htm
3M CO,10-Q,66740,2015-07-30,http://www.sec.gov/Archives/edgar/data/66740/0001104659-15-054810-index.htm
"3PEA INTERNATIONAL, INC.",10-Q,1496443,2015-08-10,http://www.sec.gov/Archives/edgar/data/1496443/0001019687-15-003015-index.htm
3Power Energy Group Inc.,10-K,1221554,2015-07-14,http://www.sec.gov/Archives/edgar/data/1221554/0001144204-15-042354-index.htm
3Power Energy Group Inc.,10-Q,1221554,2015-08-19,http://www.sec.gov/Archives/edgar/data/1221554/0001144204-15-050529-index.htm
3Power Energy Group Inc.,NT 10-Q,1221554,2015-08-14,http://www.sec.gov/Archives/edgar/data/1221554/0001144204-15-049225-index.htm
"4Cable TV International, Inc.",10-Q,1421901,2015-08-19,http://www.sec.gov/Archives/edgar/data/1421901/0001594062-15-000253-index.htm
"4Cable TV International, Inc.",NT 10-Q,1421901,2015-08-14,http://www.sec.gov/Archives/edgar/data/1421901/0001594062-15-000236-index.htm
4Licensing Corp,10-Q,58592,2015-08-14,http://www.sec.gov/Archives/edgar/data/58592/0001140361-15-032321-index.htm
4NET SOFTWARE INC,10-Q,812149,2015-08-13,http://www.sec.gov/Archives/edgar/data/812149/0001144204-15-049026-index.htm
"5BARz International, Inc.",10-Q,1454124,2015-08-19,http://www.sec.gov/Archives/edgar/data/1454124/0001017386-15-000231-index.htm
"5BARz International, Inc.",NT 10-Q,1454124,2015-08-17,http://www.sec.gov/Archives/edgar/data/1454124/0001017386-15-000216-index.htm
5V Inc.,10-Q,1504876,2015-07-21,http://www.sec.gov/Archives/edgar/data/1504876/0001213900-15-005297-index.htm
"6D Global Technologies, Inc",10-Q,1382219,2015-08-14,http://www.sec.gov/Archives/edgar/data/1382219/0001185185-15-002214-index.htm
"800 Commerce, Inc.",10-Q,1558465,2015-08-14,http://www.sec.gov/Archives/edgar/data/1558465/0001554795-15-000339-index.htm
808 RENEWABLE ENERGY CORP,10-K,1467913,2015-07-14,http://www.sec.gov/Archives/edgar/data/1467913/0001079974-15-000482-index.htm
808 RENEWABLE ENERGY CORP,10-Q,1467913,2015-08-11,http://www.sec.gov/Archives/edgar/data/1467913/0001079974-15-000517-index.htm
808 RENEWABLE ENERGY CORP,10-Q,1467913,2015-08-20,http://www.sec.gov/Archives/edgar/data/1467913/0001079974-15-000589-index.htm
808 RENEWABLE ENERGY CORP,NT 10-Q,1467913,2015-08-14,http://www.sec.gov/Archives/edgar/data/1467913/0001079974-15-000551-index.htm
8X8 INC /DE/,10-Q,1023731,2015-08-03,http://www.sec.gov/Archives/edgar/data/1023731/0001136261-15-000236-index.htm
8point3 Energy Partners LP,10-Q,1635581,2015-08-11,http://www.sec.gov/Archives/edgar/data/1635581/0001564590-15-007025-index.htm
99 CENTS ONLY STORES LLC,10-Q,1011290,2015-09-11,http://www.sec.gov/Archives/edgar/data/1011290/0001104659-15-064718-index.htm
A&C United Agriculture Developing Inc.,10-Q,1539778,2015-08-11,http://www.sec.gov/Archives/edgar/data/1539778/0001477932-15-004975-index.htm
"A-Mark Precious Metals, Inc.",10-K,1591588,2015-09-24,http://www.sec.gov/Archives/edgar/data/1591588/0001591588-15-000072-index.htm
A. H. Belo Corp,10-Q,1413898,2015-07-28,http://www.sec.gov/Archives/edgar/data/1413898/0001413898-15-000024-index.htm
"A10 Networks, Inc.",10-Q,1580808,2015-08-06,http://www.sec.gov/Archives/edgar/data/1580808/0001580808-15-000036-index.htm
"AAC Holdings, Inc.",10-Q,1606180,2015-08-03,http://www.sec.gov/Archives/edgar/data/1606180/0001564590-15-005942-index.htm
AAON INC,10-Q,824142,2015-08-06,http://www.sec.gov/Archives/edgar/data/824142/0000824142-15-000079-index.htm
AAR CORP,10-K,1750,2015-07-15,http://www.sec.gov/Archives/edgar/data/1750/0001047469-15-006136-index.htm
AAR CORP,10-Q,1750,2015-09-25,http://www.sec.gov/Archives/edgar/data/1750/0001104659-15-067241-index.htm
AARON'S INC,10-Q,706688,2015-08-06,http://www.sec.gov/Archives/edgar/data/706688/0000706688-15-000160-index.htm
"ABAKAN, INC",10-K,1400000,2015-09-15,http://www.sec.gov/Archives/edgar/data/1400000/0001211524-15-000130-index.htm
"ABAKAN, INC",10-K/A,1400000,2015-09-17,http://www.sec.gov/Archives/edgar/data/1400000/0001211524-15-000132-index.htm
"ABAKAN, INC",NT 10-K,1400000,2015-08-31,http://www.sec.gov/Archives/edgar/data/1400000/0001211524-15-000123-index.htm
